Lat;Lon;alfa
-8.12625;112.27542;-167.9876
-8.28375;112.31292;-167.9876
-8.27792;112.30958;-167.9876
-8.25708;112.30708;-167.9876
-8.24708;112.30458;-167.9876
-8.23042;112.30042;-167.9876
-8.21542;112.29708;-167.9876
-8.21208;112.29625;-167.9876
-8.21125;112.29625;-167.9876
-8.21042;112.29625;-167.9876
-8.21042;112.29625;-167.9876
-8.20958;112.29625;-167.9876
-8.20875;112.29625;-167.9876
-8.20792;112.29625;-167.9876
-8.20792;112.29542;-167.9876
-8.20708;112.29542;-167.9876
-8.20542;112.29542;-167.9876
-8.20542;112.29542;-167.9876
-8.16292;112.28458;-167.9876
-8.16292;112.28458;-167.9876
-8.16208;112.28375;-167.9876
-8.14958;112.28125;-167.9876
-8.14625;112.28042;-167.9876
-8.14625;112.28042;-167.9876
-8.13542;112.27875;-167.9876
-8.13458;112.27792;-167.9876
-8.12708;112.27625;-167.9876
-8.12625;112.27625;-167.9876
-8.29125;112.31542;-167.9876
-8.28458;112.31375;-167.9876
-8.26792;112.31042;-167.9876
-8.26708;112.31042;-167.9876
-8.26625;112.30958;-167.9876
-8.26542;112.30958;-167.9876
-8.24625;112.30542;-167.9876
-8.23042;112.30125;-167.9876
-8.22458;112.29958;-167.9876
-8.22458;112.29958;-167.9876
-8.21625;112.29792;-167.9876
-8.21542;112.29792;-167.9876
-8.21125;112.29708;-167.9876
-8.21042;112.29708;-167.9876
-8.20958;112.29708;-167.9876
-8.20958;112.29708;-167.9876
-8.20875;112.29708;-167.9876
-8.20792;112.29708;-167.9876
-8.16292;112.28542;-167.9876
-8.16208;112.28458;-167.9876
-8.15792;112.28375;-167.9876
-8.14875;112.28208;-167.9876
-8.14708;112.28125;-167.9876
-8.14542;112.28125;-167.9876
-8.14542;112.28125;-167.9876
-8.13542;112.27958;-167.9876
-8.13542;112.27958;-167.9876
-8.12542;112.27708;-167.9876
-8.12542;112.27708;-167.9876
-8.12458;112.27708;-167.9876
-8.29125;112.31625;-167.9876
-8.29042;112.31625;-167.9876
-8.27708;112.31208;-167.9876
-8.26708;112.31125;-167.9876
-8.25792;112.30875;-167.9876
-8.24625;112.30542;-167.9876
-8.22458;112.30042;-167.9876
-8.22375;112.30042;-167.9876
-8.21792;112.29958;-167.9876
-8.21708;112.29958;-167.9876
-8.21625;112.29875;-167.9876
-8.21625;112.29875;-167.9876
-8.21125;112.29792;-167.9876
-8.21042;112.29792;-167.9876
-8.20708;112.29708;-167.9876
-8.16375;112.28625;-167.9876
-8.16375;112.28625;-167.9876
-8.16292;112.28625;-167.9876
-8.16208;112.28542;-167.9876
-8.15792;112.28458;-167.9876
-8.14792;112.28292;-167.9876
-8.14625;112.28208;-167.9876
-8.14542;112.28208;-167.9876
-8.14458;112.28208;-167.9876
-8.14458;112.28208;-167.9876
-8.13625;112.28042;-167.9876
-8.13542;112.28042;-167.9876
-8.12542;112.27792;-167.9876
