Lat;Lon;θ
-8.27792;112.30958;30.7420311
-8.25625;112.30625;30.7454319
-8.25625;112.30542;30.73967361
-8.24708;112.30375;30.74376488
-8.23042;112.29958;30.74629402
-8.22375;112.29792;30.74529266
-8.21542;112.29625;30.7457695
-8.21458;112.29625;30.7466259
-8.21375;112.29625;30.74805832
-8.21375;112.29625;30.74805832
-8.20958;112.29542;30.74884605
-8.20875;112.29542;30.74997139
-8.20792;112.29458;30.74572563
-8.20708;112.29458;30.74693298
-8.20458;112.29458;30.75080109
-8.20375;112.29375;30.74621391
-8.20375;112.29375;30.74621391
-8.16292;112.28375;30.75424194
-8.14958;112.28042;30.75356483
-8.14875;112.28042;30.7544899
-8.14625;112.27958;30.75265312
-8.12792;112.27625;30.75704193
-8.12708;112.27625;30.75860023
-8.12625;112.27542;30.75338745
-8.28375;112.31292;30.7438755
-8.27792;112.30958;30.7420311
-8.25708;112.30708;30.74932861
-8.24708;112.30458;30.75223541
-8.23042;112.30042;30.75273132
-8.21542;112.29708;30.75191116
-8.21208;112.29625;30.75067329
-8.21125;112.29625;30.75161171
-8.21042;112.29625;30.75297737
-8.21042;112.29625;30.75297737
-8.20958;112.29625;30.75461006
-8.20875;112.29625;30.75606346
-8.20792;112.29625;30.75735092
-8.20792;112.29542;30.75151825
-8.20708;112.29542;30.75285339
-8.20542;112.29542;30.7555275
-8.20542;112.29542;30.7555275
-8.16292;112.28458;30.760849
-8.16292;112.28458;30.760849
-8.16208;112.28375;30.7562027
-8.14958;112.28125;30.75969696
-8.14625;112.28042;30.7593689
-8.14625;112.28042;30.7593689
-8.13542;112.27875;30.7646904
-8.13458;112.27792;30.76030159
-8.12708;112.27625;30.75860023
-8.12625;112.27625;30.7600708
-8.29125;112.31542;30.75127792
-8.28458;112.31375;30.74849892
-8.26792;112.31042;30.75515366
-8.26708;112.31042;30.75695801
-8.26625;112.30958;30.7536602
-8.26542;112.30958;30.75567245
-8.24625;112.30542;30.76020432
-8.23042;112.30125;30.75972366
-8.22458;112.29958;30.75689507
-8.22458;112.29958;30.75689507
-8.21625;112.29792;30.7575531
-8.21542;112.29792;30.75835609
-8.21125;112.29708;30.75811386
-8.21042;112.29708;30.75919724
-8.20958;112.29708;30.76069832
-8.20958;112.29708;30.76069832
-8.20875;112.29708;30.76247787
-8.20792;112.29708;30.76395416
-8.16292;112.28542;30.76718903
-8.16208;112.28458;30.76264572
-8.15792;112.28375;30.76337624
-8.14875;112.28208;30.76743889
-8.14708;112.28125;30.76396179
-8.14542;112.28125;30.76702499
-8.14542;112.28125;30.76702499
-8.13542;112.27958;30.77071571
-8.13542;112.27958;30.77071571
-8.12542;112.27708;30.76758385
-8.12542;112.27708;30.76758385
-8.12458;112.27708;30.76901054
-8.29125;112.31625;30.75709152
-8.29042;112.31625;30.7579689
-8.27708;112.31208;30.76072121
-8.26708;112.31125;30.76302719
-8.25792;112.30875;30.76075745
-8.24625;112.30542;30.76020432
-8.22458;112.30042;30.76322746
-8.22375;112.30042;30.76481819
-8.21792;112.29958;30.76709747
-8.21708;112.29958;30.76820183
-8.21625;112.29875;30.76370049
-8.21625;112.29875;30.76370049
-8.21125;112.29792;30.76463318
-8.21042;112.29792;30.76577568
-8.20708;112.29708;30.76518631
-8.16375;112.28625;30.77237892
-8.16375;112.28625;30.77237892
-8.16292;112.28625;30.77453613
-8.16208;112.28542;30.7694416
-8.15792;112.28458;30.76984787
-8.14792;112.28292;30.77503014
-8.14625;112.28208;30.77160072
-8.14542;112.28208;30.77314949
-8.14458;112.28208;30.77443504
-8.14458;112.28208;30.77443504
-8.13625;112.28042;30.77629662
-8.13542;112.28042;30.77739143
-8.12542;112.27792;30.77518272
-8.12458;112.27792;30.77655411
-8.12375;112.27792;30.77816963
-8.26792;112.31208;30.76709938
-8.26708;112.31208;30.76913261
-8.23208;112.30292;30.76934624
-8.23125;112.30292;30.77091408
-8.23042;112.30292;30.77305603
-8.22458;112.30125;30.77009964
-8.21792;112.30042;30.77341843
-8.21792;112.30042;30.77341843
-8.21208;112.29875;30.76982689
-8.21125;112.29875;30.77103424
-8.21042;112.29875;30.77210808
-8.21042;112.29875;30.77210808
-8.16458;112.28708;30.7768116
-8.15792;112.28542;30.77627373
-8.15542;112.28542;30.78090286
-8.14625;112.28292;30.77807236
-8.14625;112.28292;30.77807236
-8.14542;112.28292;30.77951241
-8.14375;112.28292;30.78235817
-8.13625;112.28125;30.78229141
-8.13625;112.28125;30.78229141
-8.13542;112.28125;30.78348923
-8.12375;112.27875;30.78409767
-8.28875;112.31708;30.76677513
-8.28792;112.31708;30.76758003
-8.27042;112.31292;30.77067184
-8.27042;112.31292;30.77067184
-8.26875;112.31292;30.77238274
-8.26792;112.31292;30.77402878
-8.26792;112.31292;30.77402878
-8.26542;112.31208;30.77302742
-8.26458;112.31208;30.7748127
-8.26375;112.31125;30.77156258
-8.25708;112.31042;30.77528191
-8.23125;112.30375;30.77746391
-8.21792;112.30125;30.78020668
-8.16625;112.28875;30.7864418
-8.16542;112.28792;30.78158569
-8.16542;112.28792;30.78158569
-8.16458;112.28792;30.78315163
-8.15542;112.28625;30.78695869
-8.14542;112.28375;30.78589439
-8.14375;112.28375;30.78860855
-8.14292;112.28375;30.78988075
-8.13625;112.28208;30.78858376
-8.13542;112.28208;30.78992653
-8.12792;112.28042;30.79017639
-8.12708;112.28042;30.79160309
-8.28708;112.31792;30.77626419
-8.28292;112.31708;30.77564621
-8.27708;112.31458;30.77786636
-8.26958;112.31375;30.77884865
-8.26958;112.31375;30.77884865
-8.26708;112.31375;30.78158569
-8.26625;112.31292;30.77683449
-8.26542;112.31292;30.77920151
-8.25708;112.31125;30.78094482
-8.24875;112.30875;30.78041267
-8.23125;112.30458;30.78553391
-8.22875;112.30375;30.78263664
-8.22042;112.30208;30.78308678
-8.21958;112.30208;30.78472519
-8.21458;112.30125;30.78652954
-8.21458;112.30125;30.78652954
-8.21292;112.30125;30.78866577
-8.21208;112.30042;30.78313446
-8.16542;112.28875;30.78755188
-8.16458;112.28875;30.78938484
-8.16458;112.28875;30.78938484
-8.15708;112.28708;30.7898674
-8.15708;112.28708;30.7898674
-8.15625;112.28708;30.7917347
-8.14458;112.28458;30.79354668
-8.14375;112.28458;30.79472542
-8.14292;112.28458;30.79609489
-8.14208;112.28375;30.79144096
-8.13042;112.28125;30.79231834
-8.13042;112.28125;30.79231834
-8.12958;112.28125;30.79387474
-8.12875;112.28125;30.79493523
-8.12792;112.28125;30.796278
-8.12792;112.28125;30.796278
-8.12708;112.28125;30.79765892
-8.28708;112.31875;30.78296852
-8.28625;112.31875;30.78421593
-8.28292;112.31792;30.78304291
-8.27708;112.31542;30.78323364
-8.27708;112.31542;30.78323364
-8.26292;112.31292;30.7846489
-8.25708;112.31208;30.78665924
-8.25125;112.31042;30.787714
-8.25042;112.31042;30.79027748
-8.24958;112.30958;30.7854557
-8.24958;112.30958;30.7854557
-8.24625;112.30875;30.78848457
-8.23125;112.30542;30.79182053
-8.22042;112.30292;30.78946495
-8.21542;112.30208;30.79248238
-8.21458;112.30208;30.7931633
-8.21375;112.30208;30.79402924
-8.21375;112.30208;30.79402924
-8.21292;112.30208;30.7949295
-8.15625;112.28792;30.79784775
