Lat;Lon;θ
-8.27792;112.30958;37.48513031
-8.25625;112.30625;37.53357697
-8.25625;112.30542;37.54046249
-8.24708;112.30375;37.56646347
-8.23042;112.29958;37.6224556
-8.22375;112.29792;37.64358139
-8.21542;112.29625;37.66638565
-8.21458;112.29625;37.667202
-8.21375;112.29625;37.66843796
-8.21375;112.29625;37.66843796
-8.20958;112.29542;37.68045425
-8.20875;112.29542;37.68153381
-8.20792;112.29458;37.68860245
-8.20708;112.29458;37.68975067
-8.20458;112.29458;37.69333267
-8.20375;112.29375;37.70016479
-8.20375;112.29375;37.70016479
-8.16292;112.28375;37.83817291
-8.14958;112.28042;37.88092041
-8.14875;112.28042;37.88186646
-8.14625;112.27958;37.89115143
-8.12792;112.27625;37.9414444
-8.12708;112.27625;37.94282913
-8.12625;112.27542;37.94920349
-8.28375;112.31292;37.44601822
-8.27792;112.30958;37.48513031
-8.25708;112.30708;37.52635193
-8.24708;112.30458;37.56163025
-8.23042;112.30042;37.61719131
-8.21542;112.29708;37.66093445
-8.21208;112.29625;37.67109299
-8.21125;112.29625;37.67206192
-8.21042;112.29625;37.67330551
-8.21042;112.29625;37.67330551
-8.20958;112.29625;37.67473602
-8.20875;112.29625;37.67603683
-8.20792;112.29625;37.67722321
-8.20792;112.29542;37.6829071
-8.20708;112.29542;37.68413162
-8.20542;112.29542;37.68656921
-8.20542;112.29542;37.68656921
-8.16292;112.28458;37.83300018
-8.16292;112.28458;37.83300018
-8.16208;112.28375;37.83959198
-8.14958;112.28125;37.87538147
-8.14625;112.28042;37.88605118
-8.14625;112.28042;37.88605118
-8.13542;112.27875;37.91285706
-8.13458;112.27792;37.92091751
-8.12708;112.27625;37.94282913
-8.12625;112.27625;37.94405365
-8.29125;112.31542;37.41950226
-8.28458;112.31375;37.43922043
-8.26792;112.31042;37.48796082
-8.26708;112.31042;37.48955154
-8.26625;112.30958;37.49719238
-8.26542;112.30958;37.49886703
-8.24625;112.30542;37.55770874
-8.23042;112.30125;37.61227798
-8.22458;112.29958;37.63183975
-8.22458;112.29958;37.63183975
-8.21625;112.29792;37.65477753
-8.21542;112.29792;37.65568924
-8.21125;112.29708;37.66682434
-8.21042;112.29708;37.66789627
-8.20958;112.29708;37.6692276
-8.20958;112.29708;37.6692276
-8.20875;112.29708;37.67076492
-8.20792;112.29708;37.67205811
-8.16292;112.28542;37.82763672
-8.16208;112.28458;37.83427811
-8.15792;112.28375;37.84622574
-8.14875;112.28208;37.87130356
-8.14708;112.28125;37.87922287
-8.14542;112.28125;37.88181686
-8.14542;112.28125;37.88181686
-8.13542;112.27958;37.90732193
-8.13542;112.27958;37.90732193
-8.12542;112.27708;37.93982315
-8.12542;112.27708;37.93982315
-8.12458;112.27708;37.9410553
-8.29125;112.31625;37.41384888
-8.29042;112.31625;37.41471863
-8.27708;112.31208;37.46926117
-8.26708;112.31125;37.48404312
-8.25792;112.30875;37.51452255
-8.24625;112.30542;37.55770874
-8.22458;112.30042;37.62649918
-8.22375;112.30042;37.62793732
-8.21792;112.29958;37.6413269
-8.21708;112.29958;37.64242935
-8.21625;112.29875;37.64934921
-8.21625;112.29875;37.64934921
-8.21125;112.29792;37.66157532
-8.21042;112.29792;37.66269684
-8.20708;112.29708;37.67320251
-8.16375;112.28625;37.82121277
-8.16375;112.28625;37.82121277
-8.16292;112.28625;37.82297134
-8.16208;112.28542;37.82916641
-8.15792;112.28458;37.84094238
-8.14792;112.28292;37.86713791
-8.14625;112.28208;37.87503052
-8.14542;112.28208;37.87636566
-8.14458;112.28208;37.87780762
-8.14458;112.28208;37.87780762
-8.13625;112.28042;37.90109634
-8.13542;112.28042;37.90218735
-8.12542;112.27792;37.93441391
-8.12458;112.27792;37.9356308
-8.12375;112.27792;37.9370079
-8.26792;112.31208;37.4768486
-8.26708;112.31208;37.47854996
-8.23208;112.30292;37.59890366
-8.23125;112.30292;37.60028458
-8.23042;112.30292;37.60203934
-8.22458;112.30125;37.62153244
-8.21792;112.30042;37.63602448
-8.21792;112.30042;37.63602448
-8.21208;112.29875;37.65514374
-8.21125;112.29875;37.65629196
-8.21042;112.29875;37.65738297
-8.21042;112.29875;37.65738297
-8.16458;112.28708;37.81426239
-8.15792;112.28542;37.83563232
-8.15542;112.28542;37.83965683
-8.14625;112.28292;37.86973572
-8.14625;112.28292;37.86973572
-8.14542;112.28292;37.87105179
-8.14375;112.28292;37.87379074
-8.13625;112.28125;37.89553833
-8.13625;112.28125;37.89553833
-8.13542;112.28125;37.89660263
-8.12375;112.27875;37.93033981
-8.28875;112.31708;37.41166306
-8.28792;112.31708;37.41249466
-8.27042;112.31292;37.46878433
-8.27042;112.31292;37.46878433
-8.26875;112.31292;37.47053146
-8.26792;112.31292;37.47192383
-8.26792;112.31292;37.47192383
-8.26542;112.31208;37.48174667
-8.26458;112.31208;37.48324966
-8.26375;112.31125;37.49091721
-8.25708;112.31042;37.50535583
-8.23125;112.30375;37.59508896
-8.21792;112.30125;37.63097763
-8.16625;112.28875;37.80090332
-8.16542;112.28792;37.8075676
-8.16542;112.28792;37.8075676
-8.16458;112.28792;37.80890656
-8.15542;112.28625;37.83414841
-8.14542;112.28375;37.86573029
-8.14375;112.28375;37.86835098
-8.14292;112.28375;37.8695488
-8.13625;112.28208;37.89013672
-8.13542;112.28208;37.8913002
-8.12792;112.28042;37.91369629
-8.12708;112.28042;37.9149437
-8.28708;112.31792;37.40819931
-8.28292;112.31708;37.41969299
-8.27708;112.31458;37.45201492
-8.26958;112.31375;37.46499252
-8.26958;112.31375;37.46499252
-8.26708;112.31375;37.46776199
-8.26625;112.31292;37.47444916
-8.26542;112.31292;37.47631073
-8.25708;112.31125;37.49959946
-8.24875;112.30875;37.53097534
-8.23125;112.30458;37.58993149
-8.22875;112.30375;37.59947586
-8.22042;112.30208;37.62227249
-8.21958;112.30208;37.62375259
-8.21458;112.30125;37.63640976
-8.21458;112.30125;37.63640976
-8.21292;112.30125;37.63845825
-8.21208;112.30042;37.64489746
-8.16542;112.28875;37.80192947
-8.16458;112.28875;37.80354691
-8.16458;112.28875;37.80354691
-8.15708;112.28708;37.82580566
-8.15708;112.28708;37.82580566
-8.15625;112.28708;37.82743835
-8.14458;112.28458;37.86177826
-8.14375;112.28458;37.86284637
-8.14292;112.28458;37.86412048
-8.14208;112.28375;37.87086105
