Lat;Lon;LOS_DES
-8.28375;112.31292;-3.3851
-8.27792;112.30958;-2.1632
-8.25708;112.30708;-1.6491
-8.24708;112.30458;-1.954
-8.23042;112.30042;-1.093
-8.21542;112.29708;-1.3028
-8.21208;112.29625;-1.4991
-8.21125;112.29625;-1.0977
-8.21042;112.29625;-1.3087
-8.21042;112.29625;-1.3087
-8.20958;112.29625;-1.7448
-8.20875;112.29625;-1.4372
-8.20792;112.29625;-1.1771
-8.20792;112.29542;-1.4617
-8.20708;112.29542;-1.343
-8.20542;112.29542;-1.8297
-8.20542;112.29542;-1.8297
-8.16292;112.28458;-0.6391
-8.16292;112.28458;-0.6391
-8.16208;112.28375;-0.4529
-8.14958;112.28125;-0.116
-8.14625;112.28042;-1.2
-8.14625;112.28042;-1.2
-8.13542;112.27875;-0.7672
-8.13458;112.27792;-0.8517
-8.12708;112.27625;-0.7891
-8.12625;112.27625;-0.4932
-8.29125;112.31542;-2.4331
-8.28458;112.31375;-1.9203
-8.26792;112.31042;-2.5483
-8.26708;112.31042;-1.4309
-8.26625;112.30958;-1.6665
-8.26542;112.30958;-2.0249
-8.24625;112.30542;-1.5553
-8.23042;112.30125;-1.3748
-8.22458;112.29958;-1.2175
-8.22458;112.29958;-1.2175
-8.21625;112.29792;-1.5021
-8.21542;112.29792;-1.4807
-8.21125;112.29708;-2.0613
-8.21042;112.29708;-1.2041
-8.20958;112.29708;-1.5443
-8.20958;112.29708;-1.5443
-8.20875;112.29708;-1.4157
-8.20792;112.29708;-1.5988
-8.16292;112.28542;-0.5273
-8.16208;112.28458;-0.0929
-8.15792;112.28375;-0.3943
-8.14875;112.28208;-0.1796
-8.14708;112.28125;-0.7144
-8.14542;112.28125;-0.6858
-8.14542;112.28125;-0.6858
-8.13542;112.27958;-0.6722
-8.13542;112.27958;-0.6722
-8.12542;112.27708;-0.5064
-8.12542;112.27708;-0.5064
-8.12458;112.27708;-0.8243
-8.29125;112.31625;-2.3571
-8.29042;112.31625;-2.5927
-8.27708;112.31208;-2.7217
-8.26708;112.31125;-1.7347
-8.25792;112.30875;-1.7782
-8.24625;112.30542;-1.5553
-8.22458;112.30042;-1.0109
-8.22375;112.30042;-1.1454
-8.21792;112.29958;-1.081
-8.21708;112.29958;-1.4952
-8.21625;112.29875;-1.1529
-8.21625;112.29875;-1.1529
-8.21125;112.29792;-1.2318
-8.21042;112.29792;-1.7262
-8.20708;112.29708;-1.6482
-8.16375;112.28625;-0.6229
-8.16375;112.28625;-0.6229
-8.16292;112.28625;-0.7447
-8.16208;112.28542;-0.6169
-8.15792;112.28458;-0.4997
-8.14792;112.28292;-0.1638
-8.14625;112.28208;-0.5869
-8.14542;112.28208;-0.4823
-8.14458;112.28208;-0.2143
-8.14458;112.28208;-0.2143
-8.13625;112.28042;-0.4342
-8.13542;112.28042;-0.5758
-8.12542;112.27792;-0.1364
-8.12458;112.27792;-1.2109
-8.12375;112.27792;-0.729
-8.26792;112.31208;-0.5879
-8.26708;112.31208;-1.7326
-8.23208;112.30292;-0.6165
-8.23125;112.30292;-1.1894
-8.23042;112.30292;-1.1054
-8.22458;112.30125;-1.568
-8.21792;112.30042;-1.1172
-8.21792;112.30042;-1.1172
-8.21208;112.29875;-1.6161
-8.21125;112.29875;-1.3611
-8.21042;112.29875;-1.5879
-8.21042;112.29875;-1.5879
-8.16458;112.28708;-0.649
-8.15792;112.28542;-0.6274
-8.15542;112.28542;-0.4845
-8.14625;112.28292;-0.4485
-8.14625;112.28292;-0.4485
-8.14542;112.28292;-0.489
-8.14375;112.28292;-0.0031
-8.13625;112.28125;-0.9596
-8.13625;112.28125;-0.9596
-8.13542;112.28125;-2.092
-8.12375;112.27875;-0.0636
-8.28875;112.31708;-2.4708
-8.28792;112.31708;-2.3037
-8.27042;112.31292;-1.5691
-8.27042;112.31292;-1.5691
-8.26875;112.31292;-1.6055
-8.26792;112.31292;-1.3865
-8.26792;112.31292;-1.3865
-8.26542;112.31208;-1.5317
-8.26458;112.31208;-1.7388
-8.26375;112.31125;-1.6428
-8.25708;112.31042;-2.1492
-8.23125;112.30375;-1.025
-8.21792;112.30125;-1.0487
-8.16625;112.28875;-0.4378
-8.16542;112.28792;-0.7443
-8.16542;112.28792;-0.7443
-8.16458;112.28792;-0.515
-8.15542;112.28625;-0.5386
-8.14542;112.28375;-0.5058
-8.14375;112.28375;-0.5214
-8.14292;112.28375;-0.2604
-8.13625;112.28208;-0.5007
-8.13542;112.28208;-0.649
-8.12792;112.28042;-0.5114
-8.12708;112.28042;-0.8211
-8.28708;112.31792;-2.5371
-8.28292;112.31708;-2.2745
-8.27708;112.31458;-4.0483
-8.26958;112.31375;-1.1406
-8.26958;112.31375;-1.1406
-8.26708;112.31375;-1.5112
-8.26625;112.31292;-1.612
-8.26542;112.31292;-1.3169
-8.25708;112.31125;-1.8475
-8.24875;112.30875;-1.7522
-8.23125;112.30458;-1.6164
-8.22875;112.30375;-0.471
-8.22042;112.30208;-1.0794
-8.21958;112.30208;-1.3674
-8.21458;112.30125;-1.2109
-8.21458;112.30125;-1.2109
-8.21292;112.30125;-0.9302
-8.21208;112.30042;-1.6847
-8.16542;112.28875;-0.496
-8.16458;112.28875;-0.9704
-8.16458;112.28875;-0.9704
-8.15708;112.28708;-0.6136
-8.15708;112.28708;-0.6136
-8.15625;112.28708;-0.6354
-8.14458;112.28458;-0.5441
-8.14375;112.28458;-0.8988
-8.14292;112.28458;-0.4256
-8.14208;112.28375;0.2343
-8.13042;112.28125;-0.462
-8.13042;112.28125;-0.462
-8.12958;112.28125;-0.6543
-8.12875;112.28125;-0.4413
-8.12792;112.28125;-0.4683
-8.12792;112.28125;-0.4683
-8.12708;112.28125;-0.4703
-8.28708;112.31875;-2.2217
-8.28625;112.31875;-2.3043
-8.28292;112.31792;-2.579
-8.27708;112.31542;-3.4705
-8.27708;112.31542;-3.4705
-8.26292;112.31292;-2.2783
-8.25708;112.31208;-1.9491
-8.25125;112.31042;-1.2425
-8.25042;112.31042;-1.6435
-8.24958;112.30958;-1.757
-8.24958;112.30958;-1.757
-8.24625;112.30875;-1.4335
-8.23125;112.30542;-1.2008
-8.22042;112.30292;-1.7282
-8.21542;112.30208;-1.2509
-8.21458;112.30208;-1.535
-8.21375;112.30208;-1.4996
-8.21375;112.30208;-1.4996
-8.21292;112.30208;-1.2001
-8.15625;112.28792;-0.5035
-8.15625;112.28792;-0.5035
-8.14542;112.28542;-0.4587
-8.14458;112.28542;-0.5013
-8.14292;112.28542;-0.1798
-8.14208;112.28458;-0.5686
-8.14208;112.28458;-0.5686
-8.13458;112.28292;-1.0374
-8.12958;112.28208;-0.6314
